標準地番号（都道府県市区町村コード）,標準地番号（用途）,標準地番号（連番）,全国主要地点,連番（県単位）,都道府県名,市郡名,区町村名,地名,住居表示,所在並びに地番,当年価格,前年価格,対前年変動率（％）,地積,地積・内私道分,形状区分,（比率）間口,（比率）奥行,利用区分,構造,（階層）地上,（階層）地下,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の駅前区分,前面道路の舗装状況,側道方位区分,側道区分,給排水状況（ガス）,給排水状況（水道）,給排水状況（下水道）,最寄り駅名,交通施設との近接区分,最寄り駅迄の道路距離,法規制・用途区分,法規制・高度地区,法規制・防火・準防火,法規制・建蔽率,法規制・容積率,法規制・森林法,法規制・公園法,予備,区域区分,連番（全体）,対象年（和暦）,共通地点区分,半年前番号（都道府県市区町村コード）,半年前番号（用途）,半年前番号（連番）,半年前価格,対半年前変動率（％）,利用の現況,周辺の土地の利用の現況,予備
13101,00,001,0,0001,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","三番町６番２５　　　　　　　　　　　　　　　　　　　　　　　",0003160000,0003160000,       0.0,0000000969,0000000000,3,010,015,1,1,10,0,32,2,0110,0,1,0,0,1,1,1,"半蔵門　　　　　　　　　　　　　　　　　",0,00500,16,0,1,6,040,0,00,"  ",1,07331,03,0,00000,00,000,0000000000,       0.0,"共同住宅　　　　　　　　　　　　　　","マンション、住宅、事務所等が混在する住宅地域　　　　　　　　　　","                                                                   "
13101,00,002,0,0002,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","紀尾井町３－３２　　　　　　　　　　　　　　　　　　　　　　　　","紀尾井町３番２７外　　　　　　　　　　　　　　　　　　　　　",0002000000,0002020000,      -1.0,0000000535,0000000000,0,010,010,1,2,05,0,32,4,0054,0,1,0,0,1,1,1,"永田町　　　　　　　　　　　　　　　　　",0,00300,16,0,1,6,040,0,00,"  ",1,07332,03,0,00000,00,000,0000000000,       0.0,"共同住宅　　　　　　　　　　　　　　","中層のマンション、事務所等が混在する住宅地域　　　　　　　　　　","                                                                   "
13101,00,003,1,0003,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","六番町６番１外　　　　　　　　　　　　　　　　　　　　　　　",0004050000,0004050000,       0.0,0000002266,0000000000,1,010,010,1,1,10,1,32,7,0150,0,1,0,0,1,1,1,"四ツ谷　　　　　　　　　　　　　　　　　",0,00330,16,0,1,6,*040,0,00,"  ",1,07333,03,1,13101,00,001,0004050000,       0.0,"共同住宅　　　　　　　　　　　　　　","中高層マンション、事務所等が混在する住宅地域　　　　　　　　　　","                                                                   "
13101,00,004,0,0004,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","富士見１－４－１２　　　　　　　　　　　　　　　　　　　　　　　","富士見１丁目８番６　　　　　　　　　　　　　　　　　　　　　",0001540000,0001550000,      -0.6,0000000142,0000000000,3,012,010,1,2,05,0,32,5,0080,0,1,8,1,1,1,1,"飯田橋　　　　　　　　　　　　　　　　　",0,00360,15,0,1,6,040,0,00,"  ",1,07334,03,0,00000,00,000,0000000000,       0.0,"共同住宅　　　　　　　　　　　　　　","一般住宅、共同住宅、事務所等が混在する地域　　　　　　　　　　　","                                                                   "
13101,00,005,0,0005,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","九段北２－３－２５　　　　　　　　　　　　　　　　　　　　　　　","九段北２丁目６番２６　　　　　　　　　　　　　　　　　　　　",0002960000,0002960000,       0.0,0000001511,0000000000,5,015,010,1,1,14,1,32,4,0125,0,1,1,1,1,1,1,"九段下　　　　　　　　　　　　　　　　　",0,00450,15,0,1,6,*040,0,00,"  ",1,07335,03,0,00000,00,000,0000000000,       0.0,"共同住宅　　　　　　　　　　　　　　","事務所、学校、マンション等が混在する住宅地域　　　　　　　　　　","                                                                   "
13101,00,006,0,0006,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","平河町２－４－１３　　　　　　　　　　　　　　　　　　　　　　　","平河町２丁目２番２３　　　　　　　　　　　　　　　　　　　　",0002600000,0002630000,      -1.1,0000000626,0000000000,5,012,010,1,2,08,0,32,1,0080,0,1,0,0,1,1,1,"麹町　　　　　　　　　　　　　　　　　　",0,00330,16,0,1,6,040,0,00,"  ",1,07336,03,0,00000,00,000,0000000000,       0.0,"事務所、共同住宅兼駐車場　　　　　　","マンション、会館、事務所等が混在する住宅地域　　　　　　　　　　","                                                                   "
13101,00,007,0,0007,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","一番町１６番３　　　　　　　　　　　　　　　　　　　　　　　",0003030000,0003030000,       0.0,0000000792,0000000000,0,010,012,1,2,14,2,32,6,0080,0,1,0,0,1,1,1,"半蔵門　　　　　　　　　　　　　　　　　",0,00220,16,0,1,6,040,0,00,"  ",1,07337,03,0,00000,00,000,0000000000,       0.0,"共同住宅　　　　　　　　　　　　　　","中高層マンションの多い閑静な住宅地域　　　　　　　　　　　　　　","                                                                   "
13101,05,001,0,0008,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","大手町１丁目１１番外　　　　　　　　　　　　　　　　　　　　",0014000000,0014200000,      -1.4,0000006119,0000000000,5,015,010,1,8,00,0,21,6,0400,0,1,0,2,1,1,1,"竹橋　　　　　　　　　　　　　　　　　　",1,00000,05,0,1,8,*090,0,00,"  ",1,07338,03,0,00000,00,000,0000000000,       0.0,"建築中　　　　　　　　　　　　　　　","高層事務所ビルが建ち並ぶ中心的商業地域　　　　　　　　　　　　　","                                                                   "
13101,05,002,0,0009,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","丸の内２－４－１　　　　　　　　　　　　　　　　　　　　　　　　","丸の内２丁目２番１外　　　　　　　　　　　　　　　　　　　　",0037200000,0037600000,      -1.1,0000010027,0000000000,3,012,010,1,3,38,4,21,1,0000,1,1,0,3,1,1,1,"東京　　　　　　　　　　　　　　　　　　",3,00000,05,0,1,8,*130,0,00,"  ",1,07339,03,0,00000,00,000,0000000000,       0.0,"事務所兼店舗　　　　　　　　　　　　","特定街区等による大規模ビル中心の商業地域　　　　　　　　　　　　","                                                                   "
13101,05,003,0,0010,"東京都　　","　　　　　　　　　　","千代田区　　　　　　","千代田　　　　　　　","　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","神田錦町２丁目７番１５　　　　　　　　　　　　　　　　　　　",0001300000,0001330000,      -2.3,0000000110,0000000000,3,010,020,1,2,05,0,32,4,0060,0,1,0,0,1,1,1,"竹橋　　　　　　　　　　　　　　　　　　",0,00400,05,0,1,8,060,0,00,"  ",1,07340,03,0,00000,00,000,0000000000,       0.0,"店舗兼事務所　　　　　　　　　　　　","中高層の事務所、共同住宅が混在する商業地域　　　　　　　　　　　","                                                                   "
