@cat01,@cat02,@area,@unit,$
0010,1,13101,人,66680
0010,1,131010010,人,10
0010,1,13101001001,人,10
0010,1,13101001002,人,0
0010,1,13101001003,人,0
0010,1,131010020,人,2
0010,1,13101002001,人,0
0010,1,13101002002,人,2
0010,1,131010030,人,1
0010,1,13101003001,人,1
0010,1,13101003002,人,0
0010,1,131010040,人,14
0010,1,13101004001,人,13
0010,1,13101004002,人,1
0010,1,131010050,人,12
0010,1,13101005001,人,0
0010,1,13101005002,人,5
0010,1,13101005003,人,7
0010,1,131010060,人,574
0010,1,13101006001,人,8
0010,1,13101006002,人,566
0010,1,131010070,人,425
0010,1,131010080,人,1948
0010,1,13101008001,人,1037
0010,1,13101008002,人,911
0010,1,131010090,人,2634
0010,1,13101009001,人,706
0010,1,13101009002,人,638
0010,1,13101009003,人,388
0010,1,13101009004,人,601
0010,1,13101009005,人,86
0010,1,13101009006,人,215
0010,1,131010100,人,514
0010,1,131010110,人,3965
0010,1,131010120,人,0
0010,1,131010130,人,3
0010,1,131010140,人,97
0010,1,131010150,人,719
0010,1,131010160,人,2946
0010,1,13101016001,人,66
0010,1,13101016002,人,841
0010,1,13101016003,人,693
0010,1,13101016004,人,1346
0010,1,131010170,人,2166
0010,1,13101017001,人,1145
0010,1,13101017002,人,264
0010,1,13101017003,人,50
0010,1,13101017004,人,707
0010,1,131010180,人,4456
0010,1,13101018001,人,1173
0010,1,13101018002,人,3283
0010,1,131010190,人,2755
0010,1,13101019001,人,273
0010,1,13101019002,人,1486
0010,1,13101019003,人,467
0010,1,13101019004,人,529
0010,1,131010200,人,55
0010,1,13101020001,人,0
0010,1,13101020002,人,55
0010,1,131010210,人,3253
0010,1,13101021001,人,1547
0010,1,13101021002,人,1104
0010,1,13101021003,人,602
0010,1,131010220,人,938
0010,1,13101022001,人,27
0010,1,13101022002,人,471
0010,1,13101022003,人,440
0010,1,131010230,人,1239
0010,1,13101023001,人,106
0010,1,13101023002,人,706
0010,1,13101023003,人,427
0010,1,131010240,人,1166
0010,1,13101024001,人,495
0010,1,13101024002,人,671
0010,1,131010250,人,1003
0010,1,13101025001,人,71
0010,1,13101025002,人,591
0010,1,13101025003,人,200
0010,1,13101025004,人,141
0010,1,131010260,人,1184
0010,1,13101026001,人,382
0010,1,13101026002,人,432
0010,1,13101026003,人,370
0010,1,131010270,人,1152
0010,1,13101027001,人,267
0010,1,13101027002,人,210
0010,1,13101027003,人,675
0010,1,131010280,人,144
0010,1,131010290,人,1600
0010,1,13101029001,人,874
0010,1,13101029002,人,334
0010,1,13101029003,人,392
0010,1,131010300,人,503
0010,1,131010310,人,976
0010,1,131010320,人,1247
0010,1,13101032001,人,165
0010,1,13101032002,人,1082
0010,1,131010330,人,1726
0010,1,13101033001,人,1104
0010,1,13101033002,人,622
